State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BOGALUR,RAMANATHAPURAM,BOGALUR,,2025-26,0.0,0.0,100.0,17.0,59.75,23.25,99.5,0.25,0.25,0.0,0.0,100.0,0.0,0.13,99.88,86.75,13.25,99.88,0.13,99.63,0.38,0.25,99.75,99.88,0.13,74.13,25.87,99.63,0.38
KADALADI,RAMANATHAPURAM,KADALADI,,2025-26,0.12,0.0,99.88,3.88,96.12,0.0,79.52,17.85,2.63,0.0,0.06,99.94,19.46,0.06,80.48,75.46,24.54,100.0,0.0,99.4,0.6,0.12,99.88,100.0,0.0,32.42,67.58,99.94,0.06
KAMUDI,RAMANATHAPURAM,KAMUDI,,2025-26,0.26,0.0,99.74,13.62,86.38,0.0,89.19,10.55,0.26,0.09,0.09,99.83,4.34,0.0,95.66,96.85,3.15,99.91,0.09,99.74,0.26,0.17,99.83,100.0,0.0,0.26,99.74,99.91,0.09
MANDAPAM,RAMANATHAPURAM,MANDAPAM,,2025-26,0.14,0.0,99.86,25.43,74.57,0.0,32.57,49.57,17.86,0.0,0.0,100.0,7.01,7.01,85.98,97.71,2.29,100.0,0.0,99.86,0.14,0.14,99.86,100.0,0.0,0.0,100.0,99.86,0.14
MUDUKULATHUR,RAMANATHAPURAM,MUDUKULATHUR,,2025-26,0.0,0.0,100.0,20.8,79.2,0.0,97.93,1.72,0.36,0.0,0.0,100.0,2.43,0.29,97.29,96.71,3.29,99.71,0.29,79.77,20.23,0.14,99.86,100.0,0.0,71.39,28.61,99.71,0.29
NAINARKOIL,RAMANATHAPURAM,NAINARKOIL,,2025-26,0.0,0.0,100.0,8.25,90.58,1.17,99.92,0.08,0.0,0.0,0.0,100.0,7.25,0.5,92.25,98.75,1.25,99.75,0.25,98.42,1.58,0.5,99.5,99.92,0.08,67.5,32.5,99.92,0.08
PARAMAKKUDI,RAMANATHAPURAM,PARAMAKKUDI,,2025-26,0.09,0.0,99.91,18.55,74.27,7.18,83.27,16.18,0.55,0.09,0.0,99.91,0.0,8.09,91.91,98.36,1.64,99.91,0.09,90.45,9.55,6.36,93.64,99.82,0.18,68.91,31.09,99.82,0.18
RAJASINGAMANGALAM,RAMANATHAPURAM,RAJASINGAMANGALAM,,2025-26,0.0,0.0,100.0,24.4,75.6,0.0,99.5,0.0,0.5,0.0,0.0,100.0,0.0,5.7,94.3,92.1,7.9,99.8,0.2,99.9,0.1,0.2,99.8,100.0,0.0,0.2,99.8,99.6,0.4
RAMANATHAPURAM,RAMANATHAPURAM,RAMANATHAPURAM,,2025-26,0.0,0.0,100.0,23.22,76.44,0.33,95.0,4.78,0.22,0.11,0.11,99.78,0.44,3.22,96.33,96.67,3.33,99.56,0.44,96.33,3.67,5.33,94.67,98.22,1.78,77.22,22.78,99.67,0.33
TIRUPPULLANI,RAMANATHAPURAM,TIRUPPULLANI,,2025-26,0.11,0.0,99.89,12.0,81.33,6.67,82.67,17.22,0.11,0.0,0.0,100.0,3.12,1.78,95.09,99.56,0.44,99.33,0.67,90.78,9.22,16.8,83.2,99.89,0.11,70.56,29.44,100.0,0.0
TIRUVADANAI,RAMANATHAPURAM,TIRUVADANAI,,2025-26,0.19,0.06,99.75,62.69,37.25,0.06,97.94,1.94,0.13,0.06,0.06,99.88,0.0,0.06,99.94,65.69,34.31,100.0,0.0,99.88,0.13,0.13,99.87,100.0,0.0,0.25,99.75,99.94,0.06
