Crop,RF_Probability,GB_Probability,XGB_Probability,NN_Probability,Ensemble_Score,Actual_In_TJ
Red_Gram,0.500015276700233,0.5,0.5,0.4999821638908943,0.49999936014778185,0
GreenGram,0.500015276700233,0.5,0.5,0.4999170520030789,0.499983082175828,0
Jowar,0.500015276700233,0.5,0.5,0.49991161256995265,0.49998172231754645,0
Red_Chillies,0.500015276700233,0.5,0.5,0.49990820835202704,0.49998087126306506,0
Sunflower,0.500015276700233,0.5,0.5,0.4999035027961714,0.4999796948741011,0
Blackgram,0.500015276700233,0.5,0.5,0.4999034662876215,0.49997968574696366,0
Rubber,0.500015276700233,0.5,0.5,0.499899802895524,0.49997876989893925,0
Mango,0.500015276700233,0.5,0.5,0.4998984786279425,0.4999784388320439,1
Garlic,0.500015276700233,0.5,0.5,0.4998979827287484,0.4999783148572454,1
Bajra,0.500015276700233,0.5,0.5,0.4998959614002418,0.4999778095251188,0
Seasame,0.500015276700233,0.5,0.5,0.4998954759269355,0.49997768815679217,1
Cashewnuts,0.500015276700233,0.5,0.5,0.4998951703904539,0.49997761177267175,0
Corriander,0.500015276700233,0.5,0.5,0.49989490386836394,0.49997754514214926,1
Cotton,0.500015276700233,0.5,0.5,0.4998945933481908,0.499977467512106,1
Onion,0.500015276700233,0.5,0.5,0.4998937905843963,0.4999772668211574,1
Banana - Green,0.500015276700233,0.5,0.5,0.499892775981715,0.499977013170487,1
Coconut,0.500015276700233,0.5,0.5,0.49989236694019534,0.49997691091010715,1
Paddy,0.500015276700233,0.5,0.5,0.4998917527553905,0.4999767573639059,1
Turmeric,0.500015276700233,0.5,0.5,0.49989134191094703,0.49997665465279506,0
Maize,0.500015276700233,0.5,0.5,0.49989099405499715,0.49997656768880755,0
Tapioca,0.500015276700233,0.5,0.5,0.4998905317860572,0.49997645212157255,1
Banana,0.500015276700233,0.5,0.5,0.4998898691743903,0.49997628646865583,1
Mango-Raw-Ripe,0.500015276700233,0.5,0.5,0.49988986506688915,0.4999762854417805,1
Lemon,0.500015276700233,0.5,0.5,0.49988978939797285,0.4999762665245515,1
Guava,0.500015276700233,0.5,0.5,0.49988927393463006,0.4999761376587158,1
Groundnut,0.500015276700233,0.5,0.5,0.49988903167446147,0.49997607709367364,1
Mousambi,0.500015276700233,0.5,0.5,0.4998882345336577,0.4999758778084727,1
Ragi,0.500015276700233,0.5,0.5,0.4998868245330204,0.49997552530831335,0
Sugarcane,0.500015276700233,0.5,0.5,0.499739464913754,0.4999386854034968,0
