Crop,Records,Years_Covered,Unique_Markets,Date_Range,Avg_Min_Price,Avg_Max_Price,Avg_Modal_Price,Max_Price_Ever,Min_Price_Ever,Price_Volatility
Garlic,1030,1.1,6,2024-06-18 to 2025-07-21,20678.88,22073.0,22073.0,40000.0,210.0,12004.56
Seasame,4,0.0,1,2024-06-21 to 2024-07-05,12950.0,13875.0,13450.0,14000.0,12800.0,100.0
Lemon,1198,1.1,7,2024-06-18 to 2025-07-21,8077.07,8336.09,8336.09,20000.0,50.0,4089.23
Mango,464,1.1,7,2024-06-18 to 2025-07-21,6989.01,8328.19,8328.19,22000.0,50.0,5646.3
Guava,711,1.1,3,2024-06-18 to 2025-07-21,6894.35,7026.56,7026.56,22000.0,50.0,1958.79
Mousambi,364,1.1,2,2024-06-18 to 2025-07-21,6345.99,6345.99,6345.99,14000.0,50.0,1865.31
Cotton,335,8.1,3,2016-06-08 to 2024-07-08,5519.9,6737.49,6121.69,12129.0,1300.0,1508.44
Groundnut,48,0.2,1,2025-03-05 to 2025-05-21,6104.17,6104.17,6104.17,7000.0,6000.0,264.14
Mango-Raw-Ripe,1345,1.1,8,2024-06-18 to 2025-07-21,4561.4,5939.73,5939.73,22000.0,30.0,3837.15
Banana,1554,1.1,8,2024-06-18 to 2025-07-21,3555.89,5667.99,5668.08,9000.0,25.0,2155.7
Coconut,1562,1.1,8,2024-06-18 to 2025-07-21,4911.0,4924.51,4924.51,8000.0,30.0,1644.36
Onion,1558,1.1,8,2024-06-18 to 2025-07-21,3805.81,4672.54,4672.54,9000.0,32.0,1760.91
Tapioca,570,0.8,5,2024-06-20 to 2025-04-13,3673.54,3673.89,3673.89,7000.0,40.0,794.37
Corriander,1511,1.1,8,2024-06-18 to 2025-07-21,3651.34,3652.8,3652.8,8000.0,28.0,1344.52
Banana - Green,1561,1.1,8,2024-06-18 to 2025-07-21,3289.7,3512.39,3512.39,44000.0,30.0,1548.13
Paddy,3120,8.1,8,2017-06-07 to 2025-07-21,1867.99,2043.93,1948.7,24000.0,0.0,283.05
